# Metadata:
# Simulated red vs blue cyber activity data for ML tasks
# Columns: timestamp, src_ip, dst_ip, protocol, activity_type, event_details
# activity_type: "red" = adversary, "blue" = defender
# Generated on: 2025-11-07 15:25:36
timestamp,src_ip,dst_ip,protocol,activity_type,event_details
2025-01-01 20:39:24,243.40.43.188,125.35.64.33,HTTP,red,RED - HTTP connection from 243.40.43.188 to 125.35.64.33
2025-01-01 09:39:01,136.216.108.238,139.102.159.103,ICMP,blue,BLUE - Defensive action on 139.102.159.103
2025-01-01 18:50:39,116.61.126.58,17.173.10.151,HTTPS,red,RED - HTTPS connection from 116.61.126.58 to 17.173.10.151
2025-01-01 21:25:28,57.3.36.182,162.30.117.18,TCP,blue,BLUE - Defensive action on 162.30.117.18
2025-01-01 02:34:47,132.121.142.172,125.109.67.186,HTTPS,blue,BLUE - Defensive action on 125.109.67.186
2025-01-01 08:50:50,201.242.208.49,25.49.220.91,HTTP,blue,BLUE - Defensive action on 25.49.220.91
2025-01-01 17:00:13,222.27.50.16,104.173.55.64,UDP,red,RED - UDP connection from 222.27.50.16 to 104.173.55.64
2025-01-01 19:31:32,115.71.216.47,72.236.127.224,TCP,blue,BLUE - Defensive action on 72.236.127.224
2025-01-01 20:02:12,26.25.7.249,24.121.85.105,HTTP,blue,BLUE - Defensive action on 24.121.85.105
2025-01-01 07:46:56,222.205.30.43,98.1.199.68,HTTP,blue,BLUE - Defensive action on 98.1.199.68
2025-01-01 15:24:04,179.249.79.49,76.111.29.149,HTTPS,red,RED - HTTPS connection from 179.249.79.49 to 76.111.29.149
2025-01-01 11:25:04,15.25.244.129,236.80.29.246,HTTPS,red,RED - HTTPS connection from 15.25.244.129 to 236.80.29.246
2025-01-01 06:45:56,18.34.120.104,31.126.20.159,TCP,blue,BLUE - Defensive action on 31.126.20.159
2025-01-01 23:56:03,150.161.133.53,172.160.122.68,HTTP,red,RED - HTTP connection from 150.161.133.53 to 172.160.122.68
2025-01-01 23:30:07,77.234.161.238,193.37.4.118,HTTPS,red,RED - HTTPS connection from 77.234.161.238 to 193.37.4.118
2025-01-01 02:40:02,138.109.135.34,239.178.35.226,UDP,blue,BLUE - Defensive action on 239.178.35.226
2025-01-01 10:22:33,41.224.154.157,252.4.153.239,TCP,red,RED - TCP connection from 41.224.154.157 to 252.4.153.239
2025-01-01 09:37:44,30.54.79.70,73.107.175.53,ICMP,blue,BLUE - Defensive action on 73.107.175.53
2025-01-01 09:08:34,232.26.47.163,109.141.22.1,ICMP,red,RED - ICMP connection from 232.26.47.163 to 109.141.22.1
2025-01-01 23:11:47,251.134.82.190,114.218.4.29,TCP,red,RED - TCP connection from 251.134.82.190 to 114.218.4.29
2025-01-01 19:51:51,10.189.75.111,33.21.157.94,TCP,blue,BLUE - Defensive action on 33.21.157.94
2025-01-01 07:38:55,175.127.52.91,200.208.79.237,UDP,red,RED - UDP connection from 175.127.52.91 to 200.208.79.237
2025-01-01 06:26:46,226.211.12.46,189.170.210.206,UDP,blue,BLUE - Defensive action on 189.170.210.206
2025-01-01 05:47:46,202.55.195.224,10.240.113.52,HTTP,blue,BLUE - Defensive action on 10.240.113.52
2025-01-01 11:06:41,211.116.114.7,169.98.204.85,ICMP,red,RED - ICMP connection from 211.116.114.7 to 169.98.204.85
2025-01-01 10:09:45,90.204.169.241,8.59.133.46,HTTPS,blue,BLUE - Defensive action on 8.59.133.46
2025-01-01 01:23:34,28.222.176.187,202.160.223.156,HTTPS,red,RED - HTTPS connection from 28.222.176.187 to 202.160.223.156
2025-01-01 14:01:28,231.97.130.12,182.223.0.134,HTTPS,red,RED - HTTPS connection from 231.97.130.12 to 182.223.0.134
2025-01-01 13:15:39,111.35.169.160,81.63.153.130,ICMP,blue,BLUE - Defensive action on 81.63.153.130
2025-01-01 11:52:33,104.151.65.50,108.194.89.158,HTTPS,blue,BLUE - Defensive action on 108.194.89.158
2025-01-01 14:47:05,141.0.155.74,54.220.164.120,HTTP,blue,BLUE - Defensive action on 54.220.164.120
2025-01-01 07:46:50,131.242.86.169,22.145.171.24,UDP,blue,BLUE - Defensive action on 22.145.171.24
2025-01-01 08:10:44,207.101.75.7,12.125.243.157,TCP,blue,BLUE - Defensive action on 12.125.243.157
2025-01-01 15:05:21,227.99.196.127,103.124.75.168,TCP,red,RED - TCP connection from 227.99.196.127 to 103.124.75.168
2025-01-01 15:28:44,57.90.237.13,143.127.62.117,UDP,blue,BLUE - Defensive action on 143.127.62.117
2025-01-01 19:20:16,253.162.226.157,209.218.228.230,UDP,blue,BLUE - Defensive action on 209.218.228.230
2025-01-01 16:23:11,67.126.141.197,200.248.122.71,HTTP,red,RED - HTTP connection from 67.126.141.197 to 200.248.122.71
2025-01-01 10:24:10,61.139.171.82,229.41.70.39,UDP,blue,BLUE - Defensive action on 229.41.70.39
2025-01-01 05:33:48,181.109.32.107,105.169.238.107,TCP,red,RED - TCP connection from 181.109.32.107 to 105.169.238.107
2025-01-01 15:17:49,100.10.194.123,2.180.152.193,HTTP,blue,BLUE - Defensive action on 2.180.152.193
2025-01-01 19:35:45,192.112.249.57,70.223.248.8,HTTP,blue,BLUE - Defensive action on 70.223.248.8
2025-01-01 14:43:14,186.84.239.236,33.13.201.152,HTTPS,red,RED - HTTPS connection from 186.84.239.236 to 33.13.201.152
2025-01-01 03:03:23,165.219.69.222,119.93.25.67,HTTP,blue,BLUE - Defensive action on 119.93.25.67
2025-01-01 07:42:22,117.167.172.195,226.194.142.193,HTTP,blue,BLUE - Defensive action on 226.194.142.193
2025-01-01 02:58:55,121.9.26.244,90.114.35.200,TCP,red,RED - TCP connection from 121.9.26.244 to 90.114.35.200
2025-01-01 09:00:11,52.10.78.62,33.242.58.145,UDP,blue,BLUE - Defensive action on 33.242.58.145
2025-01-01 09:19:46,197.188.85.156,156.58.83.247,ICMP,red,RED - ICMP connection from 197.188.85.156 to 156.58.83.247
2025-01-01 21:04:09,7.159.192.102,242.101.38.152,UDP,red,RED - UDP connection from 7.159.192.102 to 242.101.38.152
2025-01-01 10:58:49,218.61.21.89,137.219.189.18,HTTPS,blue,BLUE - Defensive action on 137.219.189.18
2025-01-01 00:27:38,218.215.250.28,111.185.235.182,UDP,blue,BLUE - Defensive action on 111.185.235.182
2025-01-01 06:24:46,188.138.247.120,112.137.165.219,UDP,red,RED - UDP connection from 188.138.247.120 to 112.137.165.219
2025-01-01 10:09:19,226.230.124.193,119.194.172.8,HTTP,blue,BLUE - Defensive action on 119.194.172.8
2025-01-01 06:37:14,125.108.181.205,67.174.143.226,HTTPS,blue,BLUE - Defensive action on 67.174.143.226
2025-01-01 20:14:08,3.97.43.62,185.208.250.143,UDP,blue,BLUE - Defensive action on 185.208.250.143
2025-01-01 23:30:59,183.251.229.203,5.47.150.57,HTTP,red,RED - HTTP connection from 183.251.229.203 to 5.47.150.57
2025-01-01 11:08:55,170.188.242.142,136.176.217.191,HTTPS,blue,BLUE - Defensive action on 136.176.217.191
2025-01-01 12:48:32,180.232.138.79,65.118.61.185,UDP,blue,BLUE - Defensive action on 65.118.61.185
2025-01-01 04:21:10,191.94.98.56,190.247.141.186,HTTPS,blue,BLUE - Defensive action on 190.247.141.186
2025-01-01 03:39:36,214.99.151.59,93.91.154.4,HTTPS,red,RED - HTTPS connection from 214.99.151.59 to 93.91.154.4
2025-01-01 09:59:14,12.27.149.179,242.64.251.27,TCP,blue,BLUE - Defensive action on 242.64.251.27
2025-01-01 17:05:24,123.225.174.48,248.26.129.241,HTTP,red,RED - HTTP connection from 123.225.174.48 to 248.26.129.241
2025-01-01 02:22:44,103.251.37.148,162.27.77.39,HTTPS,blue,BLUE - Defensive action on 162.27.77.39
2025-01-01 03:06:04,255.127.60.143,196.213.115.199,HTTPS,blue,BLUE - Defensive action on 196.213.115.199
2025-01-01 16:24:09,233.226.152.221,151.219.156.146,HTTPS,red,RED - HTTPS connection from 233.226.152.221 to 151.219.156.146
2025-01-01 22:11:45,246.50.106.161,55.135.41.41,UDP,red,RED - UDP connection from 246.50.106.161 to 55.135.41.41
2025-01-01 20:05:50,20.80.1.105,116.240.149.9,UDP,blue,BLUE - Defensive action on 116.240.149.9
2025-01-01 10:17:36,180.232.36.176,60.135.101.109,TCP,red,RED - TCP connection from 180.232.36.176 to 60.135.101.109
2025-01-01 23:34:46,39.136.72.19,16.84.157.153,HTTPS,blue,BLUE - Defensive action on 16.84.157.153
2025-01-01 15:59:20,32.239.155.180,104.139.252.113,TCP,red,RED - TCP connection from 32.239.155.180 to 104.139.252.113
2025-01-01 15:43:46,189.165.128.7,24.117.10.196,ICMP,red,RED - ICMP connection from 189.165.128.7 to 24.117.10.196
2025-01-01 06:22:42,121.226.142.47,150.223.251.249,TCP,blue,BLUE - Defensive action on 150.223.251.249
2025-01-01 12:40:07,105.170.164.172,27.82.168.106,HTTP,blue,BLUE - Defensive action on 27.82.168.106
2025-01-01 14:34:48,209.18.232.23,81.129.165.30,HTTP,red,RED - HTTP connection from 209.18.232.23 to 81.129.165.30
2025-01-01 23:56:40,223.236.211.14,49.185.255.161,HTTP,red,RED - HTTP connection from 223.236.211.14 to 49.185.255.161
2025-01-01 07:24:40,69.67.147.113,226.248.62.8,HTTPS,red,RED - HTTPS connection from 69.67.147.113 to 226.248.62.8
2025-01-01 05:45:58,80.7.208.24,58.58.236.243,TCP,red,RED - TCP connection from 80.7.208.24 to 58.58.236.243
2025-01-01 18:08:43,239.149.139.107,214.247.241.63,HTTP,red,RED - HTTP connection from 239.149.139.107 to 214.247.241.63
2025-01-01 13:57:57,49.69.35.71,198.212.174.240,HTTPS,blue,BLUE - Defensive action on 198.212.174.240
2025-01-01 00:05:36,73.152.250.222,39.228.247.89,ICMP,blue,BLUE - Defensive action on 39.228.247.89
2025-01-01 16:34:42,239.164.96.252,179.122.196.60,HTTP,red,RED - HTTP connection from 239.164.96.252 to 179.122.196.60
2025-01-01 11:35:04,191.242.195.99,254.77.253.247,TCP,red,RED - TCP connection from 191.242.195.99 to 254.77.253.247
2025-01-01 18:17:16,248.169.51.224,217.225.51.135,HTTP,red,RED - HTTP connection from 248.169.51.224 to 217.225.51.135
2025-01-01 05:14:54,105.79.38.121,201.135.173.160,HTTP,red,RED - HTTP connection from 105.79.38.121 to 201.135.173.160
2025-01-01 11:57:45,219.194.162.161,184.249.18.159,TCP,red,RED - TCP connection from 219.194.162.161 to 184.249.18.159
2025-01-01 22:58:47,176.147.116.192,24.222.50.195,TCP,blue,BLUE - Defensive action on 24.222.50.195
2025-01-01 06:03:25,178.153.14.12,84.28.150.92,ICMP,blue,BLUE - Defensive action on 84.28.150.92
2025-01-01 05:18:00,63.210.92.44,45.40.195.159,UDP,blue,BLUE - Defensive action on 45.40.195.159
2025-01-01 21:13:55,37.118.236.164,66.235.130.171,TCP,blue,BLUE - Defensive action on 66.235.130.171
2025-01-01 10:28:20,174.80.37.114,242.176.153.164,HTTP,blue,BLUE - Defensive action on 242.176.153.164
2025-01-01 16:37:58,217.154.101.99,219.247.54.61,HTTP,blue,BLUE - Defensive action on 219.247.54.61
2025-01-01 20:55:41,76.151.11.251,213.202.140.3,HTTPS,red,RED - HTTPS connection from 76.151.11.251 to 213.202.140.3
2025-01-01 22:04:42,191.254.146.199,205.117.180.57,UDP,blue,BLUE - Defensive action on 205.117.180.57
2025-01-02 00:00:00,175.70.49.232,161.20.158.202,HTTP,red,RED - HTTP connection from 175.70.49.232 to 161.20.158.202
2025-01-01 21:06:05,94.67.46.233,76.167.212.45,UDP,red,RED - UDP connection from 94.67.46.233 to 76.167.212.45
2025-01-01 19:38:21,225.187.139.213,43.131.246.248,ICMP,blue,BLUE - Defensive action on 43.131.246.248
2025-01-01 04:11:35,120.38.72.194,248.115.203.248,HTTPS,blue,BLUE - Defensive action on 248.115.203.248
2025-01-01 03:17:16,203.202.7.68,138.63.232.95,ICMP,blue,BLUE - Defensive action on 138.63.232.95
2025-01-01 23:14:55,241.190.55.173,60.241.12.159,HTTPS,blue,BLUE - Defensive action on 60.241.12.159
2025-01-01 22:12:44,57.32.237.233,180.154.209.30,UDP,red,RED - UDP connection from 57.32.237.233 to 180.154.209.30
2025-01-01 01:21:17,78.252.59.25,61.69.198.117,ICMP,blue,BLUE - Defensive action on 61.69.198.117
2025-01-01 21:23:03,191.79.212.168,26.250.208.241,ICMP,red,RED - ICMP connection from 191.79.212.168 to 26.250.208.241
2025-01-01 13:29:26,56.227.227.244,61.185.50.252,ICMP,blue,BLUE - Defensive action on 61.185.50.252
2025-01-01 02:12:16,102.141.97.248,32.232.46.170,UDP,red,RED - UDP connection from 102.141.97.248 to 32.232.46.170
2025-01-01 01:50:29,202.170.124.254,33.105.35.213,HTTPS,red,RED - HTTPS connection from 202.170.124.254 to 33.105.35.213
2025-01-01 21:20:58,56.119.168.199,38.1.141.220,UDP,red,RED - UDP connection from 56.119.168.199 to 38.1.141.220
2025-01-01 19:40:07,65.89.56.170,222.13.67.4,ICMP,red,RED - ICMP connection from 65.89.56.170 to 222.13.67.4
2025-01-01 21:26:22,83.8.89.68,14.64.215.135,TCP,red,RED - TCP connection from 83.8.89.68 to 14.64.215.135
2025-01-01 17:20:22,115.185.55.116,129.113.22.187,HTTPS,blue,BLUE - Defensive action on 129.113.22.187
2025-01-01 16:40:36,165.15.31.123,217.205.218.176,TCP,blue,BLUE - Defensive action on 217.205.218.176
2025-01-01 16:08:58,19.41.164.156,38.33.64.71,HTTPS,blue,BLUE - Defensive action on 38.33.64.71
2025-01-01 13:52:05,255.150.232.130,155.220.50.204,TCP,red,RED - TCP connection from 255.150.232.130 to 155.220.50.204
2025-01-01 15:39:30,116.116.211.87,212.232.204.107,TCP,blue,BLUE - Defensive action on 212.232.204.107
2025-01-01 15:32:16,81.130.191.245,40.242.34.24,TCP,red,RED - TCP connection from 81.130.191.245 to 40.242.34.24
2025-01-01 15:43:26,25.190.66.143,16.168.62.106,ICMP,blue,BLUE - Defensive action on 16.168.62.106
2025-01-01 01:52:23,248.147.159.91,27.108.79.169,HTTP,red,RED - HTTP connection from 248.147.159.91 to 27.108.79.169
2025-01-01 03:56:24,90.188.58.196,72.115.219.217,HTTPS,red,RED - HTTPS connection from 90.188.58.196 to 72.115.219.217
2025-01-01 22:10:22,238.136.14.47,70.158.173.90,TCP,red,RED - TCP connection from 238.136.14.47 to 70.158.173.90
2025-01-01 05:12:56,145.205.35.37,190.15.46.192,HTTPS,red,RED - HTTPS connection from 145.205.35.37 to 190.15.46.192
2025-01-01 13:41:48,108.232.174.41,95.159.166.199,HTTPS,red,RED - HTTPS connection from 108.232.174.41 to 95.159.166.199
2025-01-01 01:54:55,40.80.25.173,21.139.226.170,HTTP,blue,BLUE - Defensive action on 21.139.226.170
2025-01-01 22:06:10,114.212.139.56,194.58.176.111,TCP,blue,BLUE - Defensive action on 194.58.176.111
2025-01-01 21:35:43,125.157.23.57,102.28.3.53,ICMP,red,RED - ICMP connection from 125.157.23.57 to 102.28.3.53
2025-01-01 04:59:47,196.130.148.84,31.3.254.192,HTTP,red,RED - HTTP connection from 196.130.148.84 to 31.3.254.192
2025-01-01 04:42:12,98.117.181.19,102.21.223.5,HTTP,red,RED - HTTP connection from 98.117.181.19 to 102.21.223.5
2025-01-01 11:23:53,148.219.207.182,164.213.148.30,HTTP,red,RED - HTTP connection from 148.219.207.182 to 164.213.148.30
2025-01-01 11:49:28,44.235.185.23,112.54.124.112,HTTPS,blue,BLUE - Defensive action on 112.54.124.112
2025-01-01 19:04:36,21.202.158.191,87.113.170.200,UDP,red,RED - UDP connection from 21.202.158.191 to 87.113.170.200
2025-01-01 18:35:10,163.58.99.232,199.178.179.187,UDP,red,RED - UDP connection from 163.58.99.232 to 199.178.179.187
2025-01-01 03:44:34,38.131.101.45,155.78.38.46,HTTP,blue,BLUE - Defensive action on 155.78.38.46
2025-01-01 20:31:29,195.229.165.222,249.161.77.113,TCP,blue,BLUE - Defensive action on 249.161.77.113
2025-01-01 16:06:01,162.155.140.152,15.180.37.80,HTTP,blue,BLUE - Defensive action on 15.180.37.80
2025-01-01 01:22:09,15.188.146.20,166.46.196.119,HTTPS,red,RED - HTTPS connection from 15.188.146.20 to 166.46.196.119
2025-01-01 16:22:27,233.96.164.155,122.77.31.116,TCP,blue,BLUE - Defensive action on 122.77.31.116
2025-01-01 03:04:13,130.88.20.64,182.224.224.135,HTTPS,red,RED - HTTPS connection from 130.88.20.64 to 182.224.224.135
2025-01-01 13:14:56,96.144.198.105,199.173.26.203,ICMP,red,RED - ICMP connection from 96.144.198.105 to 199.173.26.203
2025-01-01 12:00:13,25.197.145.65,186.76.170.21,HTTPS,red,RED - HTTPS connection from 25.197.145.65 to 186.76.170.21
2025-01-01 12:44:11,80.200.66.153,182.43.158.144,HTTP,blue,BLUE - Defensive action on 182.43.158.144
2025-01-01 04:39:10,172.47.216.131,93.9.185.80,UDP,red,RED - UDP connection from 172.47.216.131 to 93.9.185.80
2025-01-01 12:26:31,243.248.98.58,36.79.39.76,TCP,red,RED - TCP connection from 243.248.98.58 to 36.79.39.76
2025-01-01 12:15:40,225.67.192.40,42.92.84.185,HTTP,red,RED - HTTP connection from 225.67.192.40 to 42.92.84.185
2025-01-01 14:57:32,94.121.227.157,73.229.119.137,UDP,blue,BLUE - Defensive action on 73.229.119.137
2025-01-01 17:04:34,232.99.188.174,243.225.236.197,ICMP,blue,BLUE - Defensive action on 243.225.236.197
2025-01-01 18:18:36,136.214.82.210,52.70.128.14,HTTP,blue,BLUE - Defensive action on 52.70.128.14
2025-01-01 20:11:24,240.52.63.73,22.82.139.116,HTTPS,red,RED - HTTPS connection from 240.52.63.73 to 22.82.139.116
2025-01-01 15:55:40,24.113.230.227,90.13.212.14,HTTP,blue,BLUE - Defensive action on 90.13.212.14
2025-01-01 08:35:03,99.41.191.58,8.163.50.215,ICMP,red,RED - ICMP connection from 99.41.191.58 to 8.163.50.215
2025-01-01 05:00:35,10.146.241.179,213.71.240.115,HTTPS,red,RED - HTTPS connection from 10.146.241.179 to 213.71.240.115
2025-01-01 02:53:04,5.131.110.214,39.216.56.199,ICMP,red,RED - ICMP connection from 5.131.110.214 to 39.216.56.199
2025-01-01 10:57:52,32.24.122.108,164.234.32.29,HTTP,red,RED - HTTP connection from 32.24.122.108 to 164.234.32.29
2025-01-01 23:00:31,132.123.73.75,110.0.180.62,HTTPS,blue,BLUE - Defensive action on 110.0.180.62
2025-01-01 06:49:11,171.43.184.18,245.10.199.224,HTTP,red,RED - HTTP connection from 171.43.184.18 to 245.10.199.224
2025-01-01 23:08:38,100.191.129.192,5.182.34.89,UDP,red,RED - UDP connection from 100.191.129.192 to 5.182.34.89
2025-01-01 21:11:11,189.170.68.12,91.173.89.213,HTTP,blue,BLUE - Defensive action on 91.173.89.213
2025-01-01 23:00:02,47.69.32.184,199.234.18.76,UDP,red,RED - UDP connection from 47.69.32.184 to 199.234.18.76
2025-01-01 07:15:44,227.21.161.239,80.203.242.65,TCP,red,RED - TCP connection from 227.21.161.239 to 80.203.242.65
2025-01-01 10:25:01,92.24.169.70,32.188.223.228,HTTP,blue,BLUE - Defensive action on 32.188.223.228
2025-01-01 14:04:38,87.95.254.178,128.188.136.206,TCP,blue,BLUE - Defensive action on 128.188.136.206
2025-01-01 02:52:25,111.92.150.83,27.40.167.170,ICMP,blue,BLUE - Defensive action on 27.40.167.170
2025-01-01 16:14:07,155.218.85.177,114.179.228.11,ICMP,blue,BLUE - Defensive action on 114.179.228.11
2025-01-01 09:59:46,164.29.38.172,164.207.186.132,UDP,red,RED - UDP connection from 164.29.38.172 to 164.207.186.132
2025-01-01 05:11:54,218.224.17.33,18.120.187.93,HTTP,red,RED - HTTP connection from 218.224.17.33 to 18.120.187.93
2025-01-01 22:01:50,40.230.189.96,114.39.70.136,ICMP,blue,BLUE - Defensive action on 114.39.70.136
2025-01-01 11:26:47,167.142.127.246,30.13.95.128,HTTPS,blue,BLUE - Defensive action on 30.13.95.128
2025-01-01 20:26:59,31.134.133.181,115.109.146.178,HTTP,red,RED - HTTP connection from 31.134.133.181 to 115.109.146.178
2025-01-01 04:27:54,35.37.231.45,231.227.44.208,ICMP,blue,BLUE - Defensive action on 231.227.44.208
2025-01-01 02:21:51,141.148.153.218,41.89.185.131,UDP,red,RED - UDP connection from 141.148.153.218 to 41.89.185.131
2025-01-01 07:19:02,203.71.121.203,127.13.184.142,HTTPS,blue,BLUE - Defensive action on 127.13.184.142
2025-01-01 17:01:03,206.66.44.17,80.203.245.135,HTTP,blue,BLUE - Defensive action on 80.203.245.135
2025-01-01 20:55:53,19.64.162.165,19.230.238.175,HTTPS,blue,BLUE - Defensive action on 19.230.238.175
2025-01-01 04:40:21,225.93.66.111,129.28.63.133,UDP,blue,BLUE - Defensive action on 129.28.63.133
2025-01-01 05:59:41,42.165.115.89,243.145.40.65,UDP,blue,BLUE - Defensive action on 243.145.40.65
2025-01-01 04:33:26,161.155.47.129,165.86.78.44,HTTPS,blue,BLUE - Defensive action on 165.86.78.44
2025-01-01 20:31:14,11.14.41.12,243.135.107.197,HTTPS,blue,BLUE - Defensive action on 243.135.107.197
2025-01-01 22:30:16,164.15.254.228,161.148.154.124,UDP,blue,BLUE - Defensive action on 161.148.154.124
2025-01-01 10:49:45,117.37.30.41,113.212.247.119,UDP,blue,BLUE - Defensive action on 113.212.247.119
2025-01-01 22:05:16,37.160.163.188,253.176.204.34,ICMP,red,RED - ICMP connection from 37.160.163.188 to 253.176.204.34
2025-01-01 11:37:07,62.238.62.69,116.126.72.25,TCP,blue,BLUE - Defensive action on 116.126.72.25
2025-01-01 13:59:11,222.214.127.247,222.81.167.240,HTTPS,blue,BLUE - Defensive action on 222.81.167.240
2025-01-01 06:54:41,196.81.255.132,120.255.157.128,TCP,red,RED - TCP connection from 196.81.255.132 to 120.255.157.128
2025-01-01 14:19:03,130.234.123.56,150.180.24.13,ICMP,blue,BLUE - Defensive action on 150.180.24.13
2025-01-01 21:45:17,226.240.146.138,3.55.220.35,ICMP,blue,BLUE - Defensive action on 3.55.220.35
2025-01-01 14:40:55,94.23.205.14,146.99.185.142,ICMP,red,RED - ICMP connection from 94.23.205.14 to 146.99.185.142
2025-01-01 14:03:59,130.230.143.212,254.60.65.250,TCP,blue,BLUE - Defensive action on 254.60.65.250
2025-01-01 13:35:15,204.173.187.194,37.101.205.129,TCP,red,RED - TCP connection from 204.173.187.194 to 37.101.205.129
2025-01-01 01:25:00,36.170.242.133,117.76.71.84,HTTPS,blue,BLUE - Defensive action on 117.76.71.84
2025-01-01 05:54:59,101.153.172.130,213.250.153.122,TCP,blue,BLUE - Defensive action on 213.250.153.122
2025-01-01 12:03:36,173.56.213.150,79.13.242.68,HTTPS,red,RED - HTTPS connection from 173.56.213.150 to 79.13.242.68
2025-01-01 01:52:11,150.245.87.135,162.194.75.211,UDP,red,RED - UDP connection from 150.245.87.135 to 162.194.75.211
2025-01-01 20:50:47,243.56.97.5,113.160.214.39,HTTP,red,RED - HTTP connection from 243.56.97.5 to 113.160.214.39
2025-01-01 14:56:28,129.241.31.181,36.106.166.170,HTTP,blue,BLUE - Defensive action on 36.106.166.170
2025-01-01 11:25:24,245.88.235.234,137.175.181.174,ICMP,blue,BLUE - Defensive action on 137.175.181.174
2025-01-01 07:00:00,246.126.142.143,77.115.152.198,ICMP,red,RED - ICMP connection from 246.126.142.143 to 77.115.152.198
2025-01-01 17:48:14,82.245.178.144,240.140.147.32,HTTPS,blue,BLUE - Defensive action on 240.140.147.32
2025-01-01 14:21:52,210.176.74.75,11.147.40.89,HTTP,blue,BLUE - Defensive action on 11.147.40.89
2025-01-01 17:26:33,55.103.138.239,144.139.70.28,HTTPS,red,RED - HTTPS connection from 55.103.138.239 to 144.139.70.28
2025-01-01 08:49:39,13.115.119.14,26.211.169.184,HTTP,red,RED - HTTP connection from 13.115.119.14 to 26.211.169.184
2025-01-01 05:00:18,2.80.208.168,240.243.244.167,UDP,blue,BLUE - Defensive action on 240.243.244.167
2025-01-01 11:41:36,74.30.45.167,147.118.19.234,UDP,blue,BLUE - Defensive action on 147.118.19.234
2025-01-01 06:24:00,240.18.203.202,127.95.148.225,TCP,red,RED - TCP connection from 240.18.203.202 to 127.95.148.225
2025-01-01 10:51:50,146.54.171.73,117.252.68.218,HTTPS,blue,BLUE - Defensive action on 117.252.68.218
2025-01-01 09:56:01,50.57.169.42,188.234.131.184,UDP,red,RED - UDP connection from 50.57.169.42 to 188.234.131.184
2025-01-01 12:16:25,203.151.98.45,157.207.218.132,ICMP,red,RED - ICMP connection from 203.151.98.45 to 157.207.218.132
2025-01-01 14:35:38,172.48.94.252,36.244.165.240,UDP,red,RED - UDP connection from 172.48.94.252 to 36.244.165.240
2025-01-01 09:29:41,99.120.228.193,69.168.154.150,HTTPS,red,RED - HTTPS connection from 99.120.228.193 to 69.168.154.150
2025-01-01 09:31:22,168.184.120.16,171.60.238.79,UDP,blue,BLUE - Defensive action on 171.60.238.79
2025-01-01 18:17:46,237.159.60.164,235.151.188.158,UDP,red,RED - UDP connection from 237.159.60.164 to 235.151.188.158
2025-01-01 04:51:47,123.78.232.192,254.191.212.180,HTTPS,blue,BLUE - Defensive action on 254.191.212.180
2025-01-01 19:34:13,206.111.126.175,194.41.228.136,ICMP,red,RED - ICMP connection from 206.111.126.175 to 194.41.228.136
2025-01-01 20:32:26,29.31.103.147,138.76.84.84,HTTPS,blue,BLUE - Defensive action on 138.76.84.84
2025-01-01 04:13:55,175.105.250.24,231.228.28.117,UDP,blue,BLUE - Defensive action on 231.228.28.117
