Mission_Title,Recommendation_ID,System_Affected,Priority,Status,text_chunk,source_file,source_column,chunk_index,column_chunked,chunk_id,original_row_id
Mission_3,HR003,System A,High,Rejected,security security incident assessment security,Hardening_Recommendations.csv,Hardening Recommendation #231,6,Hardening Recommendation #231,f4fd4453-1d5c-4313-b9ca-94206addf5bc,2
Mission_4,HR004,System C,High,Rejected,response response system system assessment operation cyber cyber security system security response intel assessment assessment system intel response incident response threat threat assessment system assessment,Hardening_Recommendations.csv,Hardening Recommendation #231,1,Hardening Recommendation #231,75eed487-c707-47a2-a1d4-f25ec0dc7296,3
Mission_4,HR004,System C,High,Rejected,system assessment response threat assessment response network intel incident response operation system incident intel threat cyber assessment response incident intel response security cyber intel assessment,Hardening_Recommendations.csv,Hardening Recommendation #231,2,Hardening Recommendation #231,15fe0b7c-2119-4997-84e0-02e42acb57e9,3
Mission_4,HR004,System C,High,Rejected,intel assessment threat network operation system response security assessment response incident security intel operation security incident assessment security cyber system response operation intel intel system,Hardening_Recommendations.csv,Hardening Recommendation #231,3,Hardening Recommendation #231,eae5b056-51e6-4329-9974-2169c7b501bb,3
Mission_4,HR004,System C,High,Rejected,intel system operation network cyber intel cyber network response network network assessment assessment cyber incident response security threat incident response system security threat incident operation,Hardening_Recommendations.csv,Hardening Recommendation #231,4,Hardening Recommendation #231,c120f932-18d6-4e4b-bc79-18583b02d5dd,3
Mission_4,HR004,System C,High,Rejected,incident operation threat network system cyber network response operation assessment system assessment network threat network response assessment response response response intel intel network assessment assessment,Hardening_Recommendations.csv,Hardening Recommendation #231,5,Hardening Recommendation #231,4aca4ca2-50bb-4eec-8c6c-ccfc551e34c0,3
Mission_4,HR004,System C,High,Rejected,assessment assessment security system assessment,Hardening_Recommendations.csv,Hardening Recommendation #231,6,Hardening Recommendation #231,513977a5-d718-49f1-b2d3-69426226d150,3
Mission_5,HR005,System A,Low,Pending,intel operation security assessment threat security intel cyber incident system response threat threat incident system response response system cyber security intel network security security intel,Hardening_Recommendations.csv,Hardening Recommendation #231,1,Hardening Recommendation #231,836c2512-9c48-4e05-ae33-5bdf07d2b797,4
Mission_5,HR005,System A,Low,Pending,security intel network assessment assessment response system incident response response incident threat response security assessment operation system incident intel intel system system incident intel response,Hardening_Recommendations.csv,Hardening Recommendation #231,2,Hardening Recommendation #231,7f64008d-83e5-48ad-870c-9f365d7b0a15,4
Mission_5,HR005,System A,Low,Pending,intel response operation response assessment intel security incident cyber network assessment assessment cyber system cyber intel assessment incident system security system threat network network incident,Hardening_Recommendations.csv,Hardening Recommendation #231,3,Hardening Recommendation #231,a9c4c422-2d7b-45f6-9f8e-109b9932f1db,4
Mission_5,HR005,System A,Low,Pending,network incident system cyber cyber cyber cyber operation security incident network network assessment response system response assessment operation cyber security system operation system network security,Hardening_Recommendations.csv,Hardening Recommendation #231,4,Hardening Recommendation #231,3eeaddf4-5c5b-4b05-b3d6-c895281e08a4,4
Mission_5,HR005,System A,Low,Pending,network security network intel cyber operation incident response security cyber system network response threat response intel operation intel network incident threat system response incident response,Hardening_Recommendations.csv,Hardening Recommendation #231,5,Hardening Recommendation #231,b96bc5ba-750f-4ca5-b9b3-70dad88c854c,4
Mission_5,HR005,System A,Low,Pending,incident response network response operation,Hardening_Recommendations.csv,Hardening Recommendation #231,6,Hardening Recommendation #231,69586849-9f9c-4edd-bc5d-0b9c0609ffcb,4
Mission_6,HR006,System B,High,Pending,operation incident security cyber intel threat assessment assessment incident response system operation security response incident assessment intel network operation security threat network response intel cyber,Hardening_Recommendations.csv,Hardening Recommendation #231,1,Hardening Recommendation #231,f9d1ac50-6e71-4427-830e-1794ab4b6232,5
Mission_6,HR006,System B,High,Pending,intel cyber operation system response assessment intel system threat incident system cyber threat threat assessment security security intel assessment intel system assessment threat security network,Hardening_Recommendations.csv,Hardening Recommendation #231,2,Hardening Recommendation #231,e4db591d-e956-461d-9bd6-5d70f9bede5c,5
Mission_6,HR006,System B,High,Pending,security network network network intel response security operation operation cyber system cyber incident network response incident operation intel response operation cyber assessment system operation cyber,Hardening_Recommendations.csv,Hardening Recommendation #231,3,Hardening Recommendation #231,60456f84-9718-45b4-af6b-0433b2810b5e,5
Mission_6,HR006,System B,High,Pending,operation cyber cyber network operation response threat cyber network security assessment cyber operation security threat security threat system operation operation network response system response network,Hardening_Recommendations.csv,Hardening Recommendation #231,4,Hardening Recommendation #231,e3733011-a180-4704-82ad-b1e82c24e2e2,5
Mission_6,HR006,System B,High,Pending,response network security intel operation security security threat operation response network network threat intel assessment security cyber operation network response cyber cyber network operation security,Hardening_Recommendations.csv,Hardening Recommendation #231,5,Hardening Recommendation #231,e62c464b-b952-4812-9ba6-9239cd47adfd,5
Mission_6,HR006,System B,High,Pending,operation security incident cyber cyber,Hardening_Recommendations.csv,Hardening Recommendation #231,6,Hardening Recommendation #231,82904b57-c5dd-493e-9b79-081e9718e60d,5
Mission_7,HR007,System B,Medium,Pending,threat assessment security threat security operation cyber system threat incident operation operation system threat response system incident response assessment incident threat incident assessment assessment threat,Hardening_Recommendations.csv,Hardening Recommendation #231,1,Hardening Recommendation #231,3b83948f-b550-4597-aca2-b16a6a7221d9,6
Mission_7,HR007,System B,Medium,Pending,assessment threat cyber threat security threat operation threat cyber system cyber system incident intel network threat network cyber intel security cyber cyber response security network,Hardening_Recommendations.csv,Hardening Recommendation #231,2,Hardening Recommendation #231,2c85589a-4daf-43da-8e22-e6c3289cf049,6
Mission_7,HR007,System B,Medium,Pending,security network cyber security system intel intel threat intel threat cyber threat network response intel assessment threat system cyber network network response network operation operation,Hardening_Recommendations.csv,Hardening Recommendation #231,3,Hardening Recommendation #231,528b5c3e-263e-45db-a8ed-3b60671bba85,6
Mission_7,HR007,System B,Medium,Pending,operation operation incident network operation assessment operation response security security cyber intel security incident threat threat threat response intel incident response threat incident system system,Hardening_Recommendations.csv,Hardening Recommendation #231,4,Hardening Recommendation #231,9dacddf6-f83e-42a0-98f7-7b61a073ac87,6
Mission_7,HR007,System B,Medium,Pending,system system response network assessment cyber assessment operation system cyber security network cyber assessment threat system cyber operation network incident cyber network security system intel,Hardening_Recommendations.csv,Hardening Recommendation #231,5,Hardening Recommendation #231,f09aea2c-b305-498c-8eff-4485593410c8,6
Mission_7,HR007,System B,Medium,Pending,system intel assessment incident response,Hardening_Recommendations.csv,Hardening Recommendation #231,6,Hardening Recommendation #231,aaea98d5-2692-44f2-a206-101930d1d482,6
Mission_8,HR008,System C,High,Pending,intel response intel response threat cyber operation operation assessment security network assessment system intel intel security security cyber cyber assessment network network network threat incident,Hardening_Recommendations.csv,Hardening Recommendation #231,1,Hardening Recommendation #231,1835f81e-0421-41e6-9779-f955acf590bc,7
Mission_8,HR008,System C,High,Pending,threat incident cyber incident threat response incident intel intel incident incident threat operation network security threat intel cyber operation assessment system incident network incident incident,Hardening_Recommendations.csv,Hardening Recommendation #231,2,Hardening Recommendation #231,bd3d3235-43f3-4721-b505-88c852ff6a85,7
Mission_8,HR008,System C,High,Pending,incident incident operation assessment assessment network intel threat system response operation network cyber network network threat system response intel security threat threat response network system,Hardening_Recommendations.csv,Hardening Recommendation #231,3,Hardening Recommendation #231,dd65e2c1-e2c9-42f4-a272-56146dc0311a,7
Mission_8,HR008,System C,High,Pending,network system threat operation response incident security cyber assessment security cyber network intel security assessment system response operation response threat intel operation assessment cyber system,Hardening_Recommendations.csv,Hardening Recommendation #231,4,Hardening Recommendation #231,de965b25-ca44-4589-89d0-d0f6c96ec2b3,7
Mission_8,HR008,System C,High,Pending,cyber system network network operation threat security system cyber system intel assessment assessment intel incident security system network operation threat network response security response intel,Hardening_Recommendations.csv,Hardening Recommendation #231,5,Hardening Recommendation #231,fd330130-e360-4d64-931c-5490a364e30b,7
Mission_8,HR008,System C,High,Pending,response intel security assessment network,Hardening_Recommendations.csv,Hardening Recommendation #231,6,Hardening Recommendation #231,c16f9a46-a26b-46da-97a1-658b4d1c8749,7
Mission_9,HR009,System B,Medium,Implemented,incident operation incident response threat threat intel response assessment security operation cyber system threat response intel intel intel network threat assessment cyber threat intel assessment,Hardening_Recommendations.csv,Hardening Recommendation #231,1,Hardening Recommendation #231,0e451638-8f32-427f-ae1d-c2fb7586c12b,8
Mission_9,HR009,System B,Medium,Implemented,intel assessment intel security cyber cyber incident assessment threat incident operation security network network incident assessment response intel operation operation security security incident security operation,Hardening_Recommendations.csv,Hardening Recommendation #231,2,Hardening Recommendation #231,85e4aeb8-111d-48e7-a791-636cf81ad5bf,8
Mission_9,HR009,System B,Medium,Implemented,security operation incident cyber security intel system assessment threat threat network system network intel threat security network threat threat response intel operation intel assessment system,Hardening_Recommendations.csv,Hardening Recommendation #231,3,Hardening Recommendation #231,bd036a43-9759-42ce-ae94-a3eebbe2952b,8
Mission_9,HR009,System B,Medium,Implemented,assessment system incident incident incident cyber security response incident intel incident network operation system intel system threat network threat assessment response intel intel system response,Hardening_Recommendations.csv,Hardening Recommendation #231,4,Hardening Recommendation #231,5706616b-2ce9-427d-8c42-536691c98930,8
Mission_9,HR009,System B,Medium,Implemented,system response security intel security cyber threat operation intel incident system threat operation intel threat intel assessment security assessment incident response incident threat intel security,Hardening_Recommendations.csv,Hardening Recommendation #231,5,Hardening Recommendation #231,c3af8195-2068-4ff1-b55d-33cdb6bad144,8
Mission_9,HR009,System B,Medium,Implemented,intel security network network intel,Hardening_Recommendations.csv,Hardening Recommendation #231,6,Hardening Recommendation #231,791b70a6-cf0a-4b12-873f-aa724a95e007,8
Mission_10,HR010,System C,Medium,Rejected,network operation intel network cyber network response network threat incident network response assessment network security operation cyber intel intel operation response network system response operation,Hardening_Recommendations.csv,Hardening Recommendation #231,1,Hardening Recommendation #231,22bec5d2-4cdc-4a78-a70c-3a31bfd79039,9
Mission_10,HR010,System C,Medium,Rejected,response operation system security threat intel assessment network operation intel response security threat threat operation cyber response network operation network assessment assessment response intel incident,Hardening_Recommendations.csv,Hardening Recommendation #231,2,Hardening Recommendation #231,7279a46a-528c-4635-8885-1681db49515a,9
Mission_10,HR010,System C,Medium,Rejected,intel incident security assessment network threat threat intel network operation threat incident threat operation security network cyber assessment assessment incident intel system system threat network,Hardening_Recommendations.csv,Hardening Recommendation #231,3,Hardening Recommendation #231,f65bc694-df66-47ca-a9ff-3050d69f8ba7,9
Mission_10,HR010,System C,Medium,Rejected,threat network network cyber assessment system response cyber security security response assessment security system security threat network response threat network security assessment operation operation incident,Hardening_Recommendations.csv,Hardening Recommendation #231,4,Hardening Recommendation #231,e577a9ff-0c7c-4e5a-901b-3c9859cdfedd,9
Mission_10,HR010,System C,Medium,Rejected,operation incident security assessment security operation threat system cyber intel system cyber operation threat response threat security assessment security threat intel incident cyber cyber incident,Hardening_Recommendations.csv,Hardening Recommendation #231,5,Hardening Recommendation #231,170c476a-1165-48a5-b9e2-6a648e95fb85,9
Mission_10,HR010,System C,Medium,Rejected,cyber incident response cyber cyber,Hardening_Recommendations.csv,Hardening Recommendation #231,6,Hardening Recommendation #231,cdecac7e-c592-497c-9286-8e5348467ca2,9
